id,name,class,address,latitude,longitude
51,蘭陽博物園區,其他,宜蘭縣頭城鎮港口里1鄰青雲路三段750號,121.83255,24.869551
52,龍潭湖,直轄市及縣,宜蘭縣礁溪鄉龍潭村18鄰環湖路1號,121.740737,24.791934
53,三地門遊憩區,國家級風景特定區,屏東縣三地門鄉三地村1鄰中正路二段110號,120.653735,22.716768
54,佳樂水,國家公園,屏東縣滿州鄉港口村11鄰茶山路244號,120.847931,21.989965
55,南灣遊憩區,國家公園,屏東縣恆春鎮南灣里9鄰南灣路10號,120.769582,21.955864
56,墾丁國家公園管理處遊客中心,國家公園,屏東縣恆春鎮墾丁里1鄰墾丁路596號,120.780486,21.94827
57,大鵬灣遊憩區,國家級風景特定區,屏東縣東港鎮大潭路169號,120.4511929,22.4450449
58,小琉球遊憩區,國家級風景特定區,屏東縣琉球鄉三民路124號,120.3808548,22.3514512
59,涼山遊憩區,國家級風景特定區,屏東縣三地門鄉口社村2鄰信義巷14號之3,120.64924,22.768989
60,砂島貝殼砂展示館,國家公園,屏東縣恆春鎮鵝鑾里9鄰砂島路200號,120.848048,21.912447
61,社頂自然公園,國家公園,屏東縣恆春鎮社興路186-1號,120.8163439,21.9563748
62,禮納里部落,國家級風景特定區,屏東縣瑪家鄉和平路一段65號,120.6438783,22.7014382
63,臺灣原住民文化園區,國家級風景特定區,屏東縣瑪家鄉北葉村10鄰風景104號,120.652843,22.706415
64,貓鼻頭公園,國家公園,屏東縣恆春鎮鵝鑾里2鄰坑內路1號,120.85356,21.917871
65,霧臺遊憩區,國家級風景特定區,屏東縣霧台鄉中山巷76號,120.72959,22.7443232
66,鵝鑾鼻公園,國家公園,屏東縣恆春鎮鵝鑾里1鄰鵝鑾路257號,120.850869,21.905536
67,龍鑾潭自然中心,國家公園,屏東縣恆春鎮龍水里6鄰東潭路86號,120.740004,21.975111
68,8大森林樂園,其他,屏東縣潮州鎮泗林里12鄰潮州路800號,120.558004,22.547514
69,六堆客家文化園區,博物館,屏東縣內埔鄉建興村3鄰信義路588號,120.56073,22.662614
70,勝利星村創意生活園區,其他,屏東縣屏東市光榮里9鄰成功路134號,120.484374,22.674181
